owning_agency_name,reporting_agency_name,submission_period,federal_account_symbol,federal_account_name,agency_identifier_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward_cpe,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total,last_modified_date
Government Accountability Office,Government Accountability Office,FY2023P12,005-0107,"Salaries and Expenses, Government Accountability Office",Government Accountability Office,General Government,Legislative functions,198404136.67,9639985.23,797819000,0,0,36027878.4,36027878.4,1041891000.3,839611011.42,9676195.59,202279988.88,827175340.82,1041891000.3,2023-11-15
Legislative Branch Boards and Commissions,Department of State,FY2023P12,009-0500,"International Conferences and Contingencies, House and Senate   Expenses",Legislative Branch Boards and Commissions,General Government,Legislative functions,1465742.22,0,0,0,0,0,0,1465742.22,50000,0,1415742.22,50000,1465742.22,2023-11-14
The Judicial Branch,Department of Justice,FY2023P12,010-0930,"Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",The Judicial Branch,Administration of Justice,Federal litigative and judicial activities,69780771.73,29105615.6,639876962,0,0,0,0,738763349.33,670067418.83,19646563.8,68695930.5,613614690.93,738763349.33,2023-11-20
Executive Office of the President,Executive Office of the President,FY2023P12,011-0001,"Compensation of the President, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,93919.99,-32270.78,450000,0,0,0,0,511649.21,446098.14,0,65551.07,452840.57,511649.21,2023-11-15
Executive Office of the President,Executive Office of the President,FY2023P12,011-0030,"Data-Driven Innovation, Funds Appropriated to the President, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,495283.79,0,0,0,0,0,0,495283.79,180000,0,315283.79,74205.57,495283.79,2023-11-15
Executive Office of the President,Executive Office of the President,FY2023P12,011-0036,"Information Technology Oversight and Reform, Funds Appropriated to the President, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,183657619.24,1232240.56,13700000,0,0,913100.92,913100.92,199502960.72,78026802.72,1232240.56,121476158,56875273.44,199502960.72,2023-11-15
Executive Office of the President,Executive Office of the President,FY2023P12,011-0037,"Unanticipated Needs, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,4200310.12,-792272.35,1000000,0,0,0,0,4408037.77,100163.41,7727.65,4307874.36,100000,4408037.77,2023-11-15
Executive Office of the President,Executive Office of the President,FY2023P12,011-0038,"Salaries and Expenses, Office of Administration, Executive",Executive Office of the President,General Government,Executive direction and management,30416178.77,252574.36,115463000,0,0,-87554.3,-87554.3,146044198.83,125171931.58,3064821.15,20872267.25,104286717.89,146044198.83,2023-11-15
Department of State,Department of State,FY2023P12,011-0040,"United States Emergency Refugee and Migration Assistance Fund, Funds Appropriated to the President, Executive Office of the President",Executive Office of the President,International Affairs,International development and humanitarian assistance,1867149807.07,2218844311.58,100000,0,0,0,0,4086094118.65,1354778854.47,25656311.58,2731315264.18,603531402.58,4086094118.65,2023-11-14
Executive Office of the President,Executive Office of the President,FY2023P12,011-0048,National Space Council,Executive Office of the President,General Government,Executive direction and management,3271929.38,-1639730.36,1965000,0,0,0,0,3597199.02,2052549.39,25636.33,1544649.63,2360695.25,3597199.02,2023-11-15
Peace Corps,Peace Corps,FY2023P12,011-0100,"Peace Corps, Funds Appropriated to the President",Executive Office of the President,International Affairs,International development and humanitarian assistance,61041164.63,20967046.81,430500000,0,0,5355441.9,5355441.9,517863653.34,467958983.8,26947503.93,49904669.54,445193037.31,517863653.34,2023-11-02
Peace Corps,Peace Corps,FY2023P12,011-0101,"Foreign Currency Fluctuations, Peace Corps",Executive Office of the President,International Affairs,International development and humanitarian assistance,5000000,0,0,0,0,0,0,5000000,0,0,5000000,0,5000000,2023-11-02
Executive Office of the President,Executive Office of the President,FY2023P12,011-0108,"Presidential Transition Administrative Support, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,20197,0,0,0,0,0,0,20197,0,0,20197,0,20197,2023-11-15
Executive Office of the President,Executive Office of the President,FY2023P12,011-0110,"Salaries and Expenses, the White House, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,5381623.12,723257.19,77181000,0,0,1104251.55,1104251.55,84390131.86,78565542.74,1508939.61,5824589.12,71907518.3,84390131.86,2023-11-15
Executive Office of the President,Executive Office of the President,FY2023P12,011-0211,"Operating Expenses, Official Residence of the Vice President, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,369525.53,-73949.91,321000,0,0,0,0,616575.62,297824.17,12839.93,318751.45,301423.8,616575.62,2023-11-15
Executive Office of the President,Executive Office of the President,FY2023P12,011-0300,"Salaries and Expenses, Office of Management and Budget, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,28519156.83,2095466.25,128035000,0,0,4119599.91,4119599.91,162769222.99,134836696.47,2207650.12,27932526.52,126011781.91,162769222.99,2023-11-15
Executive Office of the President,Executive Office of the President,FY2023P12,011-0400,"Salaries and Expenses, Office of the United States Trade Representative, Executive Office of the President",Executive Office of the President,General Government,Executive direction and management,46551269.1,-3914299.64,61000000,0,0,674252.25,674252.25,104311221.71,71782136.51,3750390.46,32529085.2,69511767.93,104311221.71,2023-11-15
Department of State,Department of State,FY2023P12,011-1005,"International Organizations and Programs, Economic Assistance, Funds Appropriated to the President",Executive Office of the President,International Affairs,International development and humanitarian assistance,-1694744.51,1694744.51,0,0,0,0,0,0,0,0,0,0,0,2023-11-14
Department of the Treasury,Department of the Treasury,FY2023P12,011-1008,"Contribution to the North American Development Bank, Funds Appropriated to the President",Executive Office of the President,International Affairs,International development and humanitarian assistance,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-11-15
Department of State,Department of State,FY2023P12,011-1022,"International Narcotics Control and Law Enforcement, International Security Assistance, State",Executive Office of the President,International Affairs,International development and humanitarian assistance,1358371829.78,79491410.38,1766000000,0,0,33883133.87,33883133.87,3237746374.03,1782407746.67,110907196.97,1455338627.36,1423203198.8,3237746374.03,2023-11-14
Department of State,Department of State,FY2023P12,011-1032,"Peacekeeping Operations, Funds Appropriated to the President",Executive Office of the President,International Affairs,International security assistance,271111974.47,100731006.47,460759000,0,0,2780748.66,2780748.66,835382729.6,501808934.04,52050557.24,333573795.56,451278640.76,835382729.6,2023-11-14
Department of State,Department of Defense;Department of State,FY2023P12,011-1041,"Global Security Contingency Fund, State",Executive Office of the President,International Affairs,International security assistance,811948.37,535079.29,0,0,0,0,0,1347027.66,51973.79,535079.29,1295053.87,176539.67,1347027.66,2024-01-30
Executive Office of the President,Executive Office of the President,FY2023P12,011-1070,"High Intensity Drug Trafficking Areas Program, Funds Appropriated to the President",Executive Office of the President,Administration of Justice,Criminal justice assistance,19506792.6,9656667.74,280738413,0,0,0,0,309901873.34,284641662.47,11762101.82,25260210.87,276566096.31,309901873.34,2023-11-15
Department of State,Department of State,FY2023P12,011-1071,"Nonproliferation and Disarmament Fund, Funds Appropriated to the President",Executive Office of the President,International Affairs,International security assistance,20254.19,17031.97,0,0,0,0,0,37286.16,37285,17031.97,1.16,0,37286.16,2023-11-14
Department of State,Department of State,FY2023P12,011-1075,"Non-Proliferation, Anti-Terrorism, Demining and Related Programs, International Security Assistance, State",Executive Office of the President,International Affairs,International security assistance,980360899.27,93399690.31,1043000000,0,0,66337422.6,66337422.6,2183098012.18,1081751579.07,133506312.43,1101346433.11,1093595098.47,2183098012.18,2023-11-14
Department of Defense,Department of Defense,FY2023P12,011-1081,"International Military Education and Training, Funds Appropriated to the President",Executive Office of the President,International Affairs,International security assistance,90616031.87,21478406.44,112925000,0,0,3722.39,3722.39,225023160.7,129178700.94,29415025.71,95844459.76,110381847.31,225023160.7,2024-01-30
Department of Defense,Department of Defense;Department of State,FY2023P12,011-1082,"Foreign Military Financing Program, Funds Appropriated to the President",Executive Office of the President,International Affairs,International security assistance,3343554905.47,132162617.63,6133049000,0,0,0,0,9608766523.1,7467088227.76,451680329.2,2141678295.34,7030327712.21,9608766523.1,2024-01-30
Department of Defense,Department of Defense,FY2023P12,011-1085,"Foreign Military Financing, Direct Loan Program Account, Funds Appropriated to the President",Executive Office of the President,International Affairs,International security assistance,0,60000000,0,0,0,0,0,60000000,60000000,0,0,0,60000000,2024-01-30
Executive Office of the President,Executive Office of the President,FY2023P12,011-1453,"Council on Environmental Quality and Office of Environmental Quality, Executive",Executive Office of the President,General Government,Executive direction and management,63640317.41,-371159.57,4676000,0,0,180148.29,180148.29,68125306.13,10218460.58,95562.58,57906845.55,8887074.45,68125306.13,2023-11-15
